beacon,constant,coefficient
1,342.3650728,0.821170082
2,0,1
3,0,1
4,0,1
5,216.2178143,1.143437063
6,174.5884693,0.724259393
7,251.7570137,0.858562779
8,0,1
9,0,1
10,113.6202296,0.738203773
11,240.4926164,0.828222677
12,0,1
13,0,1
14,0,1
15,255.9244356,0.842934967
16,296.1119901,0.839765527
17,0,1
18,0,1
19,472.9490886,0.900969867
20,0,1
21,364.1842329,0.904366519
22,0,1
23,0,1
24,348.1727529,1.38669192
25,168.8937286,0.785204327
26,294.0318892,0.845216656
27,0,1
28,0,1
29,350.4477631,0.91538255
30,236.6041887,0.852591632
31,0,1
32,0,1
33,0,1
34,166.865306,0.642044283
35,0,1
36,435.1731579,0.945432621
37,0,1
38,282.8940999,0.894948811
39,0,1
40,0,1
41,0,1
42,0,1
43,0,1
44,347.2530313,0.888291097
45,0,1
46,275.7302082,0.724165417
47,0,1
48,0,1
49,0,1
50,0,1