beacon,constant,coefficient,score,ts_shift
1,-33.27792633,1.808495187,0.939247123,-5
2,0,1,0,0
3,0,1,0,0
4,0,1,0,0
5,-13.03402162,1.425507654,0.959824588,0
6,-16.78560347,1.533585666,0.937220077,-5
7,-3.267026805,1.093683083,0.901997162,-5
8,0,1,0,0
9,0,1,0,0
10,-4.057926086,1.175915707,0.893317382,5
11,-32.08123321,2.026897792,0.924027733,5
12,0,1,0,0
13,0,1,0,0
14,0,1,0,0
15,-35.40962414,2.176077969,0.937515797,-1
16,-4.178225687,1.116915815,0.923765114,-5
17,0,1,0,0
18,0,1,0,0
19,-4.859577597,1.208589215,0.935934369,-5
20,0,1,0,0
21,-5.504014044,1.14575586,0.944772452,-5
22,0,1,0,0
23,0,1,0,0
24,-1.387473791,0.998988934,0.99397826,-2
25,-2.725639037,1.000140906,0.990689481,-3
26,-17.39185852,1.545317742,0.932846325,-5
27,0,1,0,0
28,0,1,0,0
29,-15.23065619,1.527794811,0.948383057,-3
30,-12.39444088,1.457566226,0.948353904,-4
31,0,1,0,0
32,0,1,0,0
33,0,1,0,0
34,-0.160693556,0.964258339,0.986448606,-5
35,0,1,0,0
36,-19.4099111,1.702534072,0.909524596,-5
37,0,1,0,0
38,-1.534323091,1.00373827,0.990912434,-3
39,0,1,0,0
40,0,1,0,0
41,0,1,0,0
42,0,1,0,0
43,0,1,0,0
44,-18.79778156,1.734941778,0.917541545,-5
45,0,1,0,0
46,-2.196974647,1.073666019,0.980632479,-4
47,0,1,0,0
48,0,1,0,0
49,0,1,0,0
50,0,1,0,0